2025-09-01T04:11:41.827882+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '34a408e7-e0d8-4fb7-aff6-0056e914af70', 'counter': 8, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 4, 'end_line': 5, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:41.818983+00:00'}
2025-09-01T04:11:41.829194+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '217d4538-187c-4414-8174-ccdb876ce65d', 'counter': 9, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 5, 'end_line': 6, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:41.819191+00:00'}
2025-09-01T04:11:41.829575+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'b03709e0-b1a2-4d31-bbf5-0a341474eadc', 'counter': 10, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 6, 'end_line': 7, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:41.819370+00:00'}
2025-09-01T04:11:41.829890+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '538aa797-72d7-48e2-81e8-ba2a39941e07', 'counter': 11, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 7, 'end_line': 8, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:41.819498+00:00'}
2025-09-01T04:11:41.830175+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '2c0e63e3-fb7d-44a9-b7d4-237b36da5963', 'counter': 12, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 8, 'end_line': 9, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:41.825807+00:00'}
2025-09-01T04:11:41.830454+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '80836db2-d787-425d-aef5-75a075e22326', 'counter': 13, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 9, 'end_line': 10, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:41.825988+00:00'}
2025-09-01T04:11:41.861235+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '0e1f0825-6e1f-4fc1-8289-231b1fa01ad8', 'counter': 14, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 10, 'end_line': 11, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:41.855604+00:00'}
2025-09-01T04:11:41.861751+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '1daf2e05-2ce2-41e2-9499-76ffff19e7c8', 'counter': 15, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 11, 'end_line': 12, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:41.855829+00:00'}
2025-09-01T04:11:46.037673+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '807e88e9-9a24-406c-bc3a-942f95925005', 'counter': 24, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 18, 'end_line': 19, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:46.035469+00:00'}
2025-09-01T04:11:46.037952+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'f708c0be-a8bb-4c37-a5c8-0b83f7459468', 'counter': 25, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 19, 'end_line': 20, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:46.035735+00:00'}
2025-09-01T04:11:46.058741+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '0446fff5-af44-45b8-b9a4-3efb1b7d0acb', 'counter': 27, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 20, 'end_line': 21, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:46.054609+00:00'}
